,Schengen State,Country where consulate is located,Consulate,Airport transit visas (ATVs) applied for,ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued,Not issued rate for ATVs,Uniform visas applied for,Total  uniform visas issued (including MEV),Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs),Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas
441,France,INDIA,BANGALORE,21,19,0,1,4.8%,585583,587610,8982,11.3%,15,2362,5.2%,"45,069","42,342","2,363",5.2%,0.0
1377,Poland,INDONESIA,JAKARTA,0,0,0,0,0,1833111,1839834,26793,83.7%,0,8,0.6%,"1,441","1,433",8,0.6%,0.0
1748,Spain,USA,"WASHINGTON, DC",5,5,0,0,0,2327590,2336175,33853,5.3%,1,0,0,"1,905","1,887",0,0,0.0
62,Belgium,ALGERIA,ALGIERS,0,0,0,0,0,80441,80567,1770,52.8%,307,2480,35.9%,"6,901","4,109","2,48",35.9%,0.0
1370,Poland,FRANCE,PARIS,0,0,0,0,0,1823781,1830469,26660,50.0%,2,0,0,6,6,0,0,0.0
1087,Lithuania,POLAND,WARSAW,0,0,0,0,0,1446591,1451859,21275,100.0%,0,0,0,1,1,0,0,0.0
549,Germany,ARMENIA,YEREVAN,0,0,0,0,0,729529,732098,11037,40.9%,5,1368,8.7%,"15,739","14,371","1,368",8.7%,0.0
1897,Switzerland,USA,"WASHINGTON, DC",0,0,0,0,0,2526182,2535514,36688,50.0%,14,30,2.8%,"1,066","1,036",30,2.8%,0.0
705,Germany,VIETNAM,HANOI,0,0,0,0,0,937450,940802,14006,49.0%,4,1563,15.5%,"10,084","8,521","1,563",15.5%,0.0
858,Hungary,RUSSIAN FEDERATION,YEKATERINBURG,0,0,0,0,0,1141373,1145492,16917,45.4%,0,47,0.5%,"9,65","9,603",47,0.5%,0.0
480,France,NEW ZEALAND,WELLINGTON,0,0,0,0,0,637564,639786,9724,23.5%,0,9,1.2%,759,742,9,1.2%,0.0
547,Germany,ANGOLA,LUANDA,1,1,1,0,0,726863,729422,10999,27.1%,1,837,39.6%,"2,114","1,277",837,39.6%,0.0
327,Finland,HONG KONG S.A.R.,HONG KONG,0,0,0,0,0,433641,435096,6813,21.4%,0,15,1.0%,"1,43","1,381",15,1.0%,0.0
316,Finland,CHILE,SANTIAGO DE CHILE,0,0,0,0,0,418980,420380,6604,66.7%,0,3,33.3%,9,6,3,33.3%,0.0
111,Belgium,NETHERLANDS,THE HAGUE,0,0,0,0,0,145750,146121,2703,60.0%,0,3,33.3%,9,5,3,33.3%,0.0
1439,Portugal,ANGOLA,BENGUELA,0,0,0,0,0,1915746,1922781,27973,20.4%,0,658,12.9%,"5,099","4,441",658,12.9%,0.0
394,France,BURUNDI,BUJUMBURA,0,0,0,0,0,522940,524732,8088,0,0,2,3.5%,57,53,2,3.5%,0.0
1575,Slovenia,EGYPT,CAIRO,0,0,0,0,0,2097011,2104728,30561,100.0%,3,126,23.3%,540,414,126,23.3%,0.0
1032,Italy,USA,"HOUSTON, TX",0,0,0,0,0,1373285,1378277,20228,69.4%,0,21,1.3%,"1,672","1,651",21,1.3%,0.0
856,Hungary,RUSSIAN FEDERATION,MOSCOW,0,0,0,0,0,1138707,1142816,16879,50.0%,5,755,1.6%,"47,873","47,118",755,1.6%,0.0
129,Belgium,SOUTH KOREA,SEOUL,0,0,0,0,0,169741,170202,3045,23.3%,0,34,27.0%,126,90,34,27.0%,0.0
1661,Spain,HONDURAS,TEGUCIGALPA,1,1,0,0,0,2211634,2219783,32197,11.1%,0,0,0,30,28,0,0,0.0
1498,Portugal,SOUTH AFRICA,JOHANNESBURG,0,0,0,0,0,1994383,2001714,29095,98.7%,2,253,3.8%,"6,676","6,423",253,3.8%,0.0
1365,Poland,CZECH REPUBLIC,PRAGUE,0,0,0,0,0,1817117,1823780,26565,0,0,0,0,2,2,0,0,0.0
950,Italy,INDIA,MUMBAI,0,0,0,0,0,1263993,1268574,18668,95.8%,1,3989,6.9%,"57,663","53,674","3,989",6.9%,0.0
1533,Slovakia,EGYPT,CAIRO,0,0,0,0,0,2041032,2048538,29761,47.3%,0,29,7.3%,399,370,29,7.3%,0.0
1293,Norway,CROATIA,ZAGREB,0,0,0,0,0,1721153,1727455,25195,33.3%,2,1,16.7%,6,5,1,16.7%,0.0
1499,Portugal,SOUTH AFRICA,PRETORIA,0,0,0,0,0,1995716,2003052,29114,20.0%,0,1,9.1%,11,10,1,9.1%,0.0
1774,Sweden,IRAN,TEHERAN,0,0,0,0,0,2362244,2370959,34347,28.4%,98,"5,121",32.8%,"15,612","8,23","5,121",32.8%,0.0
259,Denmark,JAPAN,TOKYO,0,0,0,0,0,343009,344122,5519,8.4%,0,2,0.6%,321,321,2,0.6%,0.0
717,Greece,AUSTRALIA,MELBOURNE,0,0,0,0,0,953444,956856,14234,8.5%,0,0,0,858,858,0,0,0.0
872,Hungary,UKRAINE,KYIV,0,0,0,0,0,1160032,1164222,17184,54.5%,1,47,3.7%,"1,284","1,237",47,3.7%,0.0
1524,Slovakia,BOSNIA AND HERZEGOVINA,SARAJEVO,0,0,0,0,0,2029037,2036498,29590,100.0%,0,4,1.9%,208,204,4,1.9%,0.0
540,France,VANUATU,PORT VILA,0,0,0,0,0,717533,720057,10866,25.3%,1,0,0,164,151,0,0,0.0
1021,Italy,TURKMENISTAN,ASHGABAT,0,0,0,0,0,1358624,1363561,20019,52.4%,0,6,0.6%,"1,089","1,083",6,0.6%,0.0
1286,Norway,AZERBAIJAN,BAKU,0,0,0,0,0,1711824,1718090,25061,40.6%,0,36,17.1%,211,175,36,17.1%,0.0
708,Germany,ZIMBABWE,HARARE,0,0,0,0,0,941449,944815,14063,100.0%,8,129,10.8%,"1,194","1,065",129,10.8%,0.0
388,France,BOSNIA AND HERZEGOVINA,SARAJEVO,0,0,0,0,0,514943,516704,7974,21.1%,0,2,8.7%,23,19,2,8.7%,0.0
1550,Slovakia,RUSSIAN FEDERATION,MOSCOW,8,0,0,8,100.0%,2063690,2071282,30085,91.3%,5,30,0.4%,"7,339","7,301",38,0.5%,0.0
1840,Switzerland,GERMANY,BERLIN,0,0,0,0,0,2450211,2459257,35603,50.0%,1,0,0,3,3,0,0,0.0
1015,Italy,TANZANIA,DAR ES SALAAM,0,0,0,0,0,1350627,1355534,19905,13.8%,0,481,25.3%,"1,901","1,42",481,25.3%,0.0
710,Greece,ALBANIA,KORCE,0,0,0,0,0,944114,947491,14101,187.5%,7,1,6.3%,16,15,1,6.3%,0.0
1195,Netherlands,INDONESIA,JAKARTA,1,1,1,0,0,1590536,1596346,23330,99.8%,2,"1,157",2.9%,"40,412","38,45","1,157",2.9%,0.0
1543,Slovakia,KOSOVO,PRISTINA,0,0,0,0,0,2054360,2061917,29952,100.0%,138,37,20.2%,183,146,37,20.2%,0.0
851,Hungary,PHILIPPINES,MANILA,0,0,0,0,0,1132043,1136127,16784,56.9%,0,35,5.6%,625,590,35,5.6%,0.0
321,Finland,EGYPT,CAIRO,0,0,0,0,0,425644,427069,6699,34.4%,0,131,13.3%,985,846,131,13.3%,0.0
1642,Spain,ESTONIA,TALLINN,0,0,0,0,0,2186310,2194364,31836,0,0,0,0,1,1,0,0,0.0
1517,Portugal,USA,"WASHINGTON, DC",0,0,0,0,0,2019707,2027133,29457,34.7%,2,17,1.7%,988,971,17,1.7%,0.0
49,Austria,TAIWAN,TAIPEI,0,0,0,0,0,63115,63175,1523,95.3%,0,4,2.6%,154,150,4,2.6%,0.0
16,Austria,EGYPT,CAIRO,0,0,0,0,0,19131,19026,895,69.5%,39,822,16.5%,"4,993","4,171",822,16.5%,0.0
167,Czech Republic,COLOMBIA,BOGOTA,0,0,0,0,0,220388,221040,3768,60.0%,0,0,0,5,5,0,0,0.0
1273,Netherlands,USA,"NEW YORK, NY",7,2,1,1,14.3%,1694497,1700698,24814,98.7%,0,35,1.5%,"2,388","2,319",36,1.5%,0.0
73,Belgium,CANADA,MONTREAL,0,0,0,0,0,95102,95283,1980,18.5%,5,138,18.4%,750,524,138,18.4%,0.0
212,Czech Republic,SPAIN,MADRID,0,0,0,0,0,280366,281244,4625,90.9%,0,0,0,11,11,0,0,0.0
1710,Spain,POLAND,WARSAW,0,0,0,0,0,2276943,2285337,33129,0,0,2,20.0%,10,8,2,20.0%,0.0
1057,Latvia,RUSSIAN FEDERATION,KALININGRAD,0,0,0,0,0,1406606,1411724,20704,76.6%,2,24,0.3%,"6,937","6,905",24,0.3%,0.0
289,Denmark,USA,"NEW YORK, NY",0,0,0,0,0,382993,384258,6090,31.6%,3,17,0.3%,"5,346","5,026",17,0.3%,0.0
1226,Netherlands,PALESTINIAN AUTHORITY,RAMALLAH,0,0,0,0,0,1631854,1637820,23920,99.7%,73,126,21.5%,587,444,126,21.5%,0.0
210,Czech Republic,SOUTH AFRICA,PRETORIA,0,0,0,0,0,277700,278568,4587,74.4%,1,78,1.9%,"4,102","4,024",78,1.9%,0.0
1775,Sweden,IRAQ,BAGHDAD,0,0,0,0,0,2363577,2372297,34366,34.8%,0,0,0,199,187,0,0,0.0
1478,Portugal,JAPAN,TOKYO,0,0,0,0,0,1967727,1974957,28715,0,1,1,0.9%,115,114,1,0.9%,0.0
1219,Netherlands,NETHERLANDS,THE HAGUE,53,52,42,0,0,1622524,1628455,23786,77.8%,10,4,0.8%,565,544,4,0.7%,0.0
1334,Norway,UNITED KINGDOM,LONDON,2,2,0,0,0,1775799,1782307,25975,22.5%,22,908,29.6%,"3,067","2,159",908,29.6%,0.0
887,Italy,ALBANIA,VLORE,0,0,0,0,0,1180025,1184290,17469,96.6%,0,1,1.1%,90,89,1,1.1%,0.0
747,Greece,IRAN,TEHERAN,0,0,0,0,0,993429,996991,14805,12.4%,1,4080,50.3%,"8,113","4,033","4,08",50.3%,0.0
12,Austria,COLOMBIA,BOGOTA,0,0,0,0,0,19,16,16,100.0%,0,3,15.8%,19,16,3,15.8%,0.0
79,Belgium,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,2,1,0,0,0,103099,103310,2094,29.5%,0,1643,71.8%,"2,291","1,635","1,643",71.7%,0.0
1357,Poland,CHINA,BEIJING,0,0,0,0,0,1806454,1813077,26412,13.3%,0,642,6.6%,"9,719","9,077",642,6.6%,0.0
758,Greece,KUWAIT,KUWAIT,0,0,0,0,0,1008090,1011708,15014,91.6%,5,1500,36.1%,"4,151","2,651","1,5",36.1%,0.0
1129,Malta,AUSTRALIA,MELBOURNE,0,0,0,0,0,1502569,1508048,22074,0,0,0,0,23,22,0,0,0.0
551,Germany,AUSTRIA,VIENNA,0,0,0,0,0,732195,734773,11075,94.1%,6,0,0,23,23,0,0,0.0
170,Czech Republic,EGYPT,CAIRO,0,0,0,0,0,224387,225054,3825,21.5%,3,693,25.5%,"2,713","2,018",693,25.5%,0.0
732,Greece,CHINA,GUANGZHOU (CANTON),0,0,0,0,0,973436,976924,14520,11.7%,1,778,3.9%,"20,095","19,317",778,3.9%,0.0
70,Belgium,BURKINA FASO,OUAGADOUGOU,0,0,0,0,0,91104,91269,1923,43.9%,1,550,19.7%,"2,79","2,065",550,19.7%,0.0
1803,Sweden,TURKEY,ANKARA,0,0,0,0,0,2400896,2409757,34899,67.2%,33,"1,005",22.4%,"4,481","3,356","1,005",22.4%,0.0
1430,Poland,USA,"CHICAGO, IL",0,0,0,0,0,1903751,1910740,27801,45.2%,0,1,0.3%,326,325,1,0.3%,0.0
934,Italy,ECUADOR,QUITO,0,0,0,0,0,1242668,1247168,18363,100.0%,0,1360,23.1%,"5,894","4,534","1,36",23.1%,0.0
1868,Switzerland,PALESTINIAN AUTHORITY,RAMALLAH,0,0,0,0,0,2487530,2496717,36136,25.6%,8,30,4.5%,662,632,30,4.5%,0.0
940,Italy,FRANCE,PARIS,0,0,0,0,0,1250665,1255196,18477,66.7%,2,1,2.4%,42,41,1,2.4%,0.0
733,Greece,CHINA,SHANGHAI,0,0,0,0,0,974769,978261,14539,9.4%,0,723,1.7%,"42,719","41,996",723,1.7%,0.0
730,Greece,CHILE,SANTIAGO DE CHILE,0,0,0,0,0,970771,974248,14481,50.0%,0,0,0,20,20,0,0,0.0
1392,Poland,MOLDOVA,CHISINAU,0,0,0,0,0,1853103,1859902,27078,60.2%,0,5,5.7%,88,83,5,5.7%,0.0
860,Hungary,SERBIA,BELGRADE,0,0,0,0,0,1144039,1148168,16955,85.0%,12,29,2.2%,"1,31","1,281",29,2.2%,0.0
171,Czech Republic,ETHIOPIA,ADDIS ABEBA,0,0,0,0,0,225720,226392,3844,16.7%,1,103,43.6%,236,133,103,43.6%,0.0
1224,Netherlands,PAKISTAN,ISLAMABAD,20,8,6,11,55.0%,1629188,1635144,23882,82.4%,78,"5,289",46.0%,"11,526","6,034","5,3",46.0%,0.0
1360,Poland,CHINA,SHANGHAI,0,0,0,0,0,1810453,1817091,26469,14.8%,0,422,4.0%,"10,621","10,199",422,4.0%,0.0
1085,Lithuania,MOLDOVA,CHISINAU,0,0,0,0,0,1443925,1449183,21237,37.5%,0,1,11.1%,9,8,1,11.1%,0.0
1860,Switzerland,MADAGASCAR,ANTANANARIVO,0,0,0,0,0,2476867,2486014,35984,19.7%,0,175,17.9%,976,801,175,17.9%,0.0
340,Finland,MOROCCO,RABAT,0,0,0,0,0,450968,452488,7060,33.7%,1,379,48.8%,777,390,379,48.8%,0.0
1050,Latvia,EGYPT,CAIRO,0,0,0,0,0,1397276,1402359,20571,35.7%,1,74,21.1%,351,253,74,21.1%,0.0
599,Germany,INDIA,BANGALORE,36,34,31,2,5.6%,796170,798990,11989,81.9%,55,2375,7.0%,"33,743","31,366","2,377",7.0%,0.0
125,Belgium,SERBIA,BELGRADE,0,0,0,0,0,164410,164851,2969,83.3%,0,9,17.0%,53,42,9,17.0%,0.0
354,Finland,SERBIA,BELGRADE,0,0,0,0,0,469627,471218,7327,71.4%,0,0,0,14,14,0,0,0.0
165,Czech Republic,CHINA,CHENGDU,0,0,0,0,0,217723,218365,3730,7.4%,1,326,1.7%,"19,268","18,942",326,1.7%,0.0
1171,Netherlands,CHINA,WUHAN,0,0,0,0,0,1558548,1564238,22873,91.2%,0,64,7.4%,864,793,64,7.4%,0.0
621,Germany,LAOS,VIENTIANE,0,0,0,0,0,825493,828423,12407,53.1%,0,64,3.4%,"1,861","1,797",64,3.4%,0.0
632,Germany,MONTENEGRO,PODGORICA,0,0,0,0,0,840154,843139,12617,97.7%,24,5,2.0%,247,242,5,2.0%,0.0
900,Italy,BAHRAIN,MANAMA,0,0,0,0,0,1197352,1201682,17716,96.8%,42,379,6.3%,"6,013","5,634",379,6.3%,0.0
631,Germany,MONGOLIA,ULAN BATOR,0,0,0,0,0,838821,841801,12598,28.8%,5,1380,12.6%,"10,976","9,596","1,38",12.6%,0.0
697,Germany,USA,"HOUSTON, TX",30,30,14,0,0,926787,930099,13854,35.5%,7,73,4.2%,"1,748","1,675",73,4.2%,0.0
879,Hungary,USA,"WASHINGTON, DC",0,0,0,0,0,1169362,1173587,17317,72.2%,0,3,1.3%,240,237,3,1.3%,0.0
1677,Spain,KAZAKHSTAN,ASTANA,0,0,0,0,0,2232959,2241188,32502,7.4%,4,201,1.5%,"13,131","12,875",201,1.5%,0.0
1585,Slovenia,SERBIA,BELGRADE,0,0,0,0,0,2110339,2118106,30751,93.2%,30,24,3.7%,656,632,24,3.7%,0.0
560,Germany,BOTSWANA,GABORONE,2,2,2,0,0,744190,746814,11247,98.9%,1,8,0.5%,"1,657","1,649",8,0.5%,0.0
1784,Sweden,MALI,BAMAKO,0,0,0,0,0,2375572,2384338,34538,0,0,0,0,4,0,0,0,0.0
1454,Portugal,CANADA,VANCOUVER,1,1,0,0,0,1935739,1942848,28258,88.2%,0,11,3.8%,292,281,11,3.8%,0.0
1327,Norway,SUDAN,KHARTOUM,0,0,0,0,0,1766469,1772942,25842,16.3%,13,166,59.9%,277,111,166,59.9%,0.0
995,Italy,ROMANIA,BUCHAREST,0,0,0,0,0,1323970,1328777,19524,36.0%,0,63,15.3%,413,350,63,15.3%,0.0
1396,Poland,NORTH KOREA,PYONGYANG,0,0,0,0,0,1858435,1865253,27154,4.2%,19,9,9.0%,100,91,9,9.0%,0.0
1551,Slovakia,RUSSIAN FEDERATION,ST. PETERSBURG,0,0,0,0,0,2065023,2072620,30104,94.4%,1,27,1.2%,"2,182","2,155",27,1.2%,0.0
791,Greece,UKRAINE,KYIV,0,0,0,0,0,1052073,1055856,15642,53.0%,5,72,4.2%,"1,718","1,646",72,4.2%,0.0
201,Czech Republic,POLAND,WARSAW,0,0,0,0,0,265705,266527,4415,42.9%,0,0,0,7,7,0,0,0.0
808,Greece,ZIMBABWE,HARARE,0,0,0,0,0,1074731,1078600,15966,48.3%,0,51,12.8%,397,346,51,12.8%,0.0
72,Belgium,CAMEROON,YAONDE,1,0,0,0,0,93770,93945,1961,38.8%,0,1540,35.4%,"4,35","2,493","1,54",35.4%,0.0
1102,Luxembourg,AUSTRIA,VIENNA,0,0,0,0,0,1466583,1471927,21560,100.0%,0,0,0,2,2,0,0,0.0
1465,Portugal,FRANCE,PARIS,0,0,0,0,0,1950400,1957565,28467,100.0%,0,0,0,2,2,0,0,0.0
1721,Spain,SOUTH AFRICA,CAPE TOWN,3,3,0,0,0,2291604,2300053,33339,6.6%,0,163,1.8%,"9,142","8,879",163,1.8%,0.0
797,Greece,USA,"ATLANTA, GA",0,0,0,0,0,1060070,1063884,15756,22.8%,10,13,7.0%,185,172,13,7.0%,0.0
1214,Netherlands,MOROCCO,RABAT,0,0,0,0,0,1615860,1621765,23691,84.9%,38,"3,156",22.7%,"13,874","10,627","3,156",22.7%,0.0
1438,Portugal,ALGERIA,ALGIERS,0,0,0,0,0,1914413,1921443,27954,28.8%,184,774,30.8%,"2,513","1,739",774,30.8%,0.0
1795,Sweden,SERBIA,BELGRADE,0,0,0,0,0,2390233,2399054,34747,66.7%,1,4,8.2%,49,25,4,8.2%,0.0
1474,Portugal,IRAN,TEHERAN,0,0,0,0,0,1962395,1969605,28639,26.1%,42,617,28.3%,"2,178","1,561",617,28.3%,0.0
1580,Slovenia,JAPAN,TOKYO,0,0,0,0,0,2103675,2111417,30656,56.1%,0,2,4.7%,43,41,2,4.7%,0.0
1780,Sweden,JORDAN,AMMAN,0,0,0,0,0,2370241,2378986,34461,16.6%,151,927,30.1%,"3,075","1,944",927,30.1%,0.0
674,Germany,SUDAN,KHARTOUM,5,5,5,0,0,896132,899328,13416,44.5%,164,470,22.5%,"2,09","1,62",470,22.5%,0.0
912,Italy,BRAZIL,SAO PAULO,4,1,0,3,75.0%,1213346,1217736,17945,57.4%,0,72,27.5%,266,191,75,28.2%,0.0
1644,Spain,FINLAND,HELSINKI,0,0,0,0,0,2188976,2197039,31874,0,0,0,0,6,5,0,0,0.0
1896,Switzerland,USA,"SAN FRANCISCO, CA",1,1,0,0,0,2524849,2534176,36669,97.4%,13,6,0.2%,"3,643","3,637",6,0.2%,0.0
456,France,JORDAN,AMMAN,3,1,0,1,33.3%,605576,607678,9268,34.5%,3,549,9.9%,"5,55","4,913",550,9.9%,0.0
114,Belgium,PANAMA,PANAMA CITY,0,0,0,0,0,149748,150135,2760,50.0%,0,3,27.3%,11,8,3,27.3%,0.0
1026,Italy,UNITED KINGDOM,EDINBURGH,0,0,0,0,0,1365288,1370250,20114,6.7%,1,13,1.6%,825,812,13,1.6%,0.0
672,Germany,SPAIN,MADRID,3,3,2,0,0,893467,896653,13378,100.0%,20,0,0,38,38,0,0,0.0
68,Belgium,BRAZIL,SAO PAULO,0,0,0,0,0,88438,88594,1885,69.6%,0,7,18.4%,38,23,7,18.4%,0.0
1279,Netherlands,ZIMBABWE,HARARE,3,1,1,0,0,1702494,1708725,24928,99.5%,0,83,7.7%,"1,082",982,83,7.7%,0.0
1894,Switzerland,USA,"ATLANTA, GA",0,0,0,0,0,2522183,2531501,36631,99.2%,2,3,0.2%,"1,597","1,594",3,0.2%,0.0
1339,Poland,ANGOLA,LUANDA,0,0,0,0,0,1782463,1788996,26070,22.0%,1,558,57.9%,963,405,558,57.9%,0.0
1259,Netherlands,TUNISIA,TUNIS,6,0,0,0,0,1675837,1681968,24548,96.5%,41,"3,919",50.5%,"7,765","3,584","3,919",50.5%,0.0
1852,Switzerland,ITALY,ROME,0,0,0,0,0,2466204,2475311,35832,0,0,0,0,1,1,0,0,0.0
695,Germany,USA,"BOSTON, MA",33,33,3,0,0,924122,927423,13815,68.4%,17,2,0.1%,"1,836","1,834",2,0.1%,0.0
192,Czech Republic,MOLDOVA,CHISINAU,0,0,0,0,0,253709,254487,4244,1.8%,1,12,0.7%,"1,629","1,617",12,0.7%,0.0
252,Denmark,ICELAND,REYKJAVIK,0,0,0,0,0,333679,334757,5386,20.5%,0,0,0,88,88,0,0,0.0
1817,Switzerland,AZERBAIJAN,BAKU,0,0,0,0,0,2419555,2428487,35166,38.5%,1,125,8.9%,"1,399","1,274",125,8.9%,0.0
346,Finland,PERU,LIMA,0,0,0,0,0,458965,460515,7174,71.4%,0,0,0,7,7,0,0,0.0
678,Germany,TAJIKISTAN,DUSHANBE,0,0,0,0,0,901464,904680,13492,28.2%,11,901,19.3%,"4,662","3,761",901,19.3%,0.0
1329,Norway,THAILAND,BANGKOK,0,0,0,0,0,1769135,1775618,25880,31.5%,42,714,5.3%,"13,569","12,855",714,5.3%,0.0
1391,Poland,MEXICO,MEXICO CITY,0,0,0,0,0,1851771,1858564,27059,44.4%,0,0,0,18,18,0,0,0.0
1467,Portugal,GERMANY,STUTTGART,0,0,0,0,0,1953065,1960240,28506,0,0,1,50.0%,2,1,1,50.0%,0.0
886,Italy,ALBANIA,TIRANA,0,0,0,0,0,1178692,1182952,17450,75.7%,15,22,4.8%,461,439,22,4.8%,0.0
1161,Netherlands,BULGARIA,SOFIA,4,4,3,0,0,1545220,1550860,22683,85.2%,4,35,19.8%,181,136,35,19.3%,0.0
1731,Spain,TRINIDAD AND TOBAGO,PORT OF SPAIN,3,4,0,0,0,2304932,2313432,33529,47.9%,0,1,0.7%,144,144,1,0.7%,0.0
1741,Spain,USA,"CHICAGO, IL",0,0,0,0,0,2318261,2326810,33719,7.4%,0,10,0.5%,"1,887","1,839",10,0.5%,0.0
149,Czech Republic,ALGERIA,ALGIERS,0,0,0,0,0,196397,196959,3426,31.3%,0,458,46.0%,996,537,458,46.0%,0.0
1221,Netherlands,NEW ZEALAND,WELLINGTON,0,0,0,0,0,1625190,1631130,23824,99.0%,1,26,6.0%,434,394,26,6.0%,0.0
1390,Poland,MALAYSIA,KUALA LUMPUR,0,0,0,0,0,1850438,1857226,27040,45.1%,0,77,48.4%,159,82,77,48.4%,0.0
134,Belgium,THAILAND,BANGKOK,0,0,0,0,0,176405,176892,3140,12.3%,2,513,8.6%,"5,938","5,371",513,8.6%,0.0
1319,Norway,RUSSIAN FEDERATION,MURMANSK,0,0,0,0,0,1755807,1762239,25689,100.0%,0,9,29.0%,31,22,9,29.0%,0.0
351,Finland,RUSSIAN FEDERATION,PETROZAVODSK,0,0,0,0,0,465629,467204,7270,98.8%,11,132,0.4%,"32,413","32,244",132,0.4%,0.0
1847,Switzerland,INDIA,NEW DELHI,0,0,0,0,0,2459540,2468622,35736,77.0%,155,8529,5.3%,"161,403","152,874","8,529",5.3%,0.0
817,Hungary,CANADA,OTTAWA,0,0,0,0,0,1086727,1090640,16137,33.9%,2,9,4.8%,188,179,9,4.8%,0.0
349,Finland,RUSSIAN FEDERATION,MOSCOW,0,0,0,0,0,462963,464528,7232,85.2%,139,1358,1.9%,"72,955","71,514","1,358",1.9%,0.0
754,Greece,JORDAN,AMMAN,0,0,0,0,0,1002759,1006356,14938,50.5%,13,1184,25.6%,"4,631","3,447","1,184",25.6%,0.0
1383,Poland,JORDAN,AMMAN,0,0,0,0,0,1841108,1847861,26907,25.7%,43,179,15.6%,"1,144",965,179,15.6%,0.0
61,Austria,VIETNAM,HANOI,0,0,0,0,0,79109,79229,1751,33.9%,2,96,4.8%,"1,985","1,889",96,4.8%,0.0
82,Belgium,CROATIA,ZAGREB,0,0,0,0,0,107098,107324,2151,50.0%,0,2,9.5%,21,16,2,9.5%,0.0
559,Germany,BOSNIA AND HERZEGOVINA,SARAJEVO,0,0,0,0,0,742857,745476,11228,91.5%,60,28,9.3%,300,272,28,9.3%,0.0
231,Denmark,AFGHANISTAN,KABUL,0,0,0,0,0,305689,306663,4986,6.0%,8,2,2.9%,69,58,2,2.9%,0.0
396,France,CAMEROON,DOUALA,7,3,0,4,57.1%,525606,527407,8126,27.8%,6,2370,28.3%,"8,395","5,659","2,374",28.3%,0.0
1132,Malta,CHINA,BEIJING,0,0,0,0,0,1506568,1512062,22131,19.4%,35,918,23.3%,"3,947","2,956",918,23.3%,0.0
166,Czech Republic,CHINA,SHANGHAI,0,0,0,0,0,219056,219703,3749,7.1%,6,913,2.6%,"35,634","34,721",913,2.6%,0.0
385,France,BELGIUM,BRUSSELS,0,0,0,0,0,510945,512691,7917,6.1%,0,2,5.3%,38,33,2,5.3%,0.0
1019,Italy,TURKEY,ISTANBUL,0,0,0,0,0,1355958,1360885,19981,80.5%,91,"4,6",5.4%,"85,165","80,565","4,6",5.4%,0.0
154,Czech Republic,AZERBAIJAN,BAKU,0,0,0,0,0,203062,203648,3521,12.0%,0,245,5.0%,"4,949","4,695",245,5.0%,0.0
1100,Lithuania,USA,"NEW YORK, NY",0,0,0,0,0,1463917,1469251,21522,69.7%,5,7,8.0%,88,81,7,8.0%,0.0
755,Greece,KAZAKHSTAN,ASTANA,0,0,0,0,0,1004092,1007694,14957,25.3%,12,119,1.9%,"6,373","6,254",119,1.9%,0.0
1879,Switzerland,SOUTH AFRICA,PRETORIA,0,0,0,0,0,2502191,2511433,36345,88.0%,35,89,1.2%,"7,213","7,124",89,1.2%,0.0
1180,Netherlands,EGYPT,CAIRO,3,1,1,0,0,1570544,1576279,23044,99.6%,179,"3,996",30.7%,"13,04","8,761","3,996",30.6%,0.0
891,Italy,ARMENIA,YEREVAN,0,0,0,0,0,1185356,1189641,17545,33.6%,1,1148,13.1%,"8,731","7,583","1,148",13.1%,0.0
1216,Netherlands,MYANMAR,YANGON,2,1,1,0,0,1618526,1624441,23729,58.6%,0,134,9.4%,"1,432","1,257",134,9.4%,0.0
30,Austria,LEBANON,BEIRUT,0,0,0,0,0,37791,37756,1161,32.4%,26,139,4.6%,"3,007","2,868",139,4.6%,0.0
1636,Spain,ECUADOR,QUITO,3,3,0,0,0,2178314,2186336,31721,19.1%,1,"4,217",15.7%,"26,866","22,231","4,217",15.7%,0.0
445,France,INDIA,PONDICHERY,13,12,0,1,7.7%,590915,592962,9058,8.5%,0,1901,7.8%,"24,483","22,331","1,902",7.8%,0.0
199,Czech Republic,PERU,LIMA,0,0,0,0,0,263039,263852,4377,13.6%,0,7,9.6%,73,66,7,9.6%,0.0
752,Greece,ITALY,ROME,0,0,0,0,0,1000093,1003680,14900,29.5%,0,6,12.0%,50,44,6,12.0%,0.0
1441,Portugal,ARGENTINA,BUENOS AIRES,0,0,0,0,0,1918412,1925456,28011,16.7%,0,2,10.0%,20,18,2,10.0%,0.0
1567,Slovenia,ARGENTINA,BUENOS AIRES,0,0,0,0,0,2086348,2094025,30408,0,0,3,100.0%,3,0,3,100.0%,0.0
1629,Spain,COTE D'IVOIRE,ABIDJAN,1,1,0,0,0,2168984,2176972,31588,16.2%,23,553,25.3%,"2,19","1,489",553,25.3%,0.0
993,Italy,PORTUGAL,LISBON,0,0,0,0,0,1321305,1326101,19486,100.0%,0,0,0,1,1,0,0,0.0
