Schengen State,Country where consulate is located,Consulate,Airport transit visas (ATVs) applied for,ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued,Not issued rate for ATVs,Uniform visas applied for,"Total  uniform visas issued (including MEV) 
",Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs) ",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas
Italy,POLAND,WARSAW,,,,,,"1 319 971,91","1 324 763,53","19 466,94",50.0%,,,,4,4,,
Italy,PORTUGAL,LISBON,,,,,,"1 321 304,74","1 326 101,37","19 485,97",100.0%,,,,1,1,,
Italy,QATAR,DOHA,,,,,,"1 322 637,57","1 327 439,22","19 505,00",73.4%,8,470,7.6%,"6,183","5,713",470,7.6%
Italy,ROMANIA,BUCHAREST,,,,,,"1 323 970,40","1 328 777,07","19 524,03",36.0%,,63,15.3%,413,350,63,15.3%
Italy,RUSSIAN FEDERATION,MOSCOW,,,,,,"1 325 303,23","1 330 114,91","19 543,06",97.8%,30,8720,1.9%,"463,224","454,504","8,72",1.9%
Italy,RUSSIAN FEDERATION,ST. PETERSBURG,,,,,,"1 326 636,06","1 331 452,76","19 562,09",96.2%,79,360,1.0%,"36,141","35,781",360,1.0%
Italy,SAN MARINO,SAN MARINO,,,,,,"1 327 968,89","1 332 790,60","19 581,11",97.7%,,2,0.5%,437,435,2,0.5%
Italy,SAUDI ARABIA,JEDDAH,,,,,,"1 329 301,71","1 334 128,45","19 600,14",97.5%,,922,7.5%,"12,213","11,291",922,7.5%
Italy,SAUDI ARABIA,RIYADH,,,,,,"1 330 634,54","1 335 466,30","19 619,17",89.2%,26,"1,871",8.2%,"22,8","20,929","1,871",8.2%
Italy,SENEGAL,DAKAR,,,,,,"1 331 967,37","1 336 804,14","19 638,20",54.9%,5,"2,267",39.4%,"5,757","3,49","2,267",39.4%
Italy,SERBIA,BELGRADE,,,,,,"1 333 300,20","1 338 141,99","19 657,23",86.3%,1,9,2.1%,419,410,9,2.1%
Italy,SINGAPORE,SINGAPORE,,,,,,"1 334 633,03","1 339 479,84","19 676,26",84.3%,,95,2.7%,"3,559","3,464",95,2.7%
Italy,SOUTH AFRICA,CAPE TOWN,,,,,,"1 335 965,86","1 340 817,68","19 695,29",99.4%,,528,4.0%,"13,235","12,707",528,4.0%
Italy,SOUTH AFRICA,JOHANNESBURG,,,,,,"1 337 298,69","1 342 155,53","19 714,31",99.8%,,703,2.4%,"29,453","28,75",703,2.4%
Italy,SOUTH AFRICA,PRETORIA,,,,,,"1 338 631,51","1 343 493,37","19 733,34",99.2%,,37,2.3%,"1,61","1,573",37,2.3%
Italy,SOUTH KOREA,SEOUL,,,,,,"1 339 964,34","1 344 831,22","19 752,37",6.6%,,5,0.9%,533,528,5,0.9%
Italy,SPAIN,MADRID,,,,,,"1 341 297,17","1 346 169,07","19 771,40",70.0%,,2,9.1%,22,20,2,9.1%
Italy,SRI LANKA,COLOMBO,1,1,,,,"1 342 630,00","1 347 506,91","19 790,43",25.3%,2,"1,381",23.6%,"5,86","4,479","1,381",23.6%
Italy,SUDAN,KHARTOUM,1,1,,,,"1 343 962,83","1 348 844,76","19 809,46",22.6%,41,133,11.0%,"1,212","1,079",133,11.0%
Italy,SWEDEN,STOCKHOLM,,,,,,"1 345 295,66","1 350 182,60","19 828,49",100.0%,1,1,3.7%,27,26,1,3.7%
Italy,SWITZERLAND,GENEVA,,,,,,"1 346 628,49","1 351 520,45","19 847,51",75.0%,,,,4,4,,
Italy,SWITZERLAND,LUGANO,,,,,,"1 347 961,31","1 352 858,30","19 866,54",100.0%,,,,3,3,,
Italy,TAIWAN,TAIPEI,,,,,,"1 349 294,14","1 354 196,14","19 885,57",94.4%,,3,1.5%,200,197,3,1.5%
Italy,TANZANIA,DAR ES SALAAM,,,,,,"1 350 626,97","1 355 533,99","19 904,60",13.8%,,481,25.3%,"1,901","1,42",481,25.3%
Italy,THAILAND,BANGKOK,,,,,,"1 351 959,80","1 356 871,84","19 923,63",22.2%,4,816,2.2%,"37,391","36,575",816,2.2%
Italy,TUNISIA,TUNIS,,,,,,"1 353 292,63","1 358 209,68","19 942,66",68.7%,28,"2,519",20.3%,"12,415","9,896","2,519",20.3%
Italy,TURKEY,ANKARA,,,,,,"1 354 625,46","1 359 547,53","19 961,69",98.5%,3,"1,001",8.8%,"11,358","10,357","1,001",8.8%
Italy,TURKEY,ISTANBUL,,,,,,"1 355 958,29","1 360 885,37","19 980,71",80.5%,91,"4,6",5.4%,"85,165","80,565","4,6",5.4%
Italy,TURKEY,IZMIR,,,,,,"1 357 291,11","1 362 223,22","19 999,74",60.0%,,692,4.0%,"17,101","16,409",692,4.0%
Italy,TURKMENISTAN,ASHGABAT,,,,,,"1 358 623,94","1 363 561,07","20 018,77",52.4%,,6,0.6%,"1,089","1,083",6,0.6%
Italy,UGANDA,KAMPALA,,,,,,"1 359 956,77","1 364 898,91","20 037,80",73.4%,3,510,20.0%,"2,545","2,035",510,20.0%
Italy,UKRAINE,KYIV,,,,,,"1 361 289,60","1 366 236,76","20 056,83",40.3%,1,139,3.8%,"3,611","3,472",139,3.8%
Italy,UNITED ARAB EMIRATES,ABU DHABI,,,,,,"1 362 622,43","1 367 574,60","20 075,86",42.4%,1,"1,13",18.7%,"6,041","4,911","1,13",18.7%
Italy,UNITED ARAB EMIRATES,DUBAI,5,4,4,1,20.0%,"1 363 955,26","1 368 912,45","20 094,89",48.9%,2,"6,709",22.4%,"29,912","23,202","6,71",22.4%
Italy,UNITED KINGDOM,EDINBURGH,,,,,,"1 365 288,09","1 370 250,30","20 113,91",6.7%,1,13,1.6%,825,812,13,1.6%
Italy,UNITED KINGDOM,LONDON,,,,,,"1 366 620,91","1 371 588,14","20 132,94",95.9%,3,298,1.5%,"19,597","19,299",298,1.5%
Italy,URUGUAY,MONTEVIDEO,2,2,,,,"1 367 953,74","1 372 925,99","20 151,97",37.5%,,,,26,26,,
Italy,USA,"BOSTON, MA",1,1,,,,"1 369 286,57","1 374 263,84","20 171,00",21.5%,,6,0.5%,"1,22","1,214",6,0.5%
Italy,USA,"CHICAGO, IL",,,,,,"1 370 619,40","1 375 601,68","20 190,03",96.5%,1,9,0.7%,"1,295","1,286",9,0.7%
Italy,USA,"DETROIT, MI",,,,,,"1 371 952,23","1 376 939,53","20 209,06",99.9%,,8,0.7%,"1,092","1,084",8,0.7%
Italy,USA,"HOUSTON, TX",,,,,,"1 373 285,06","1 378 277,37","20 228,09",69.4%,,21,1.3%,"1,672","1,651",21,1.3%
Italy,USA,"LOS ANGELES, CA",,,,,,"1 374 617,89","1 379 615,22","20 247,11",30.0%,,24,1.6%,"1,502","1,478",24,1.6%
Italy,USA,"MIAMI, FL",,,,,,"1 375 950,71","1 380 953,07","20 266,14",66.2%,,68,3.8%,"1,767","1,699",68,3.8%
Italy,USA,"NEW YORK, NY",,,,,,"1 377 283,54","1 382 290,91","20 285,17",13.0%,2,66,2.0%,"3,265","3,199",66,2.0%
Italy,USA,"PHILADELPHIA, PA",,,,,,"1 378 616,37","1 383 628,76","20 304,20",100.0%,1,10,0.7%,"1,468","1,458",10,0.7%
Italy,USA,"SAN FRANCISCO, CA",,,,,,"1 379 949,20","1 384 966,60","20 323,23",99.9%,,20,0.7%,"2,981","2,961",20,0.7%
Italy,USA,"WASHINGTON, DC",,,,,,"1 381 282,03","1 386 304,45","20 342,26",60.1%,,24,2.4%,982,958,24,2.4%
Italy,UZBEKISTAN,TASHKENT,,,,,,"1 382 614,86","1 387 642,30","20 361,29",20.4%,131,200,6.4%,"3,105","2,905",200,6.4%
Italy,VENEZUELA,CARACAS,,,,,,"1 383 947,69","1 388 980,14","20 380,31",78.9%,,9,32.1%,28,19,9,32.1%
Italy,VIETNAM,HANOI,,,,,,"1 385 280,51","1 390 317,99","20 399,34",5.9%,53,101,2.5%,"4,085","3,984",101,2.5%
Italy,VIETNAM,HO CHI MINH,,,,,,"1 386 613,34","1 391 655,84","20 418,37",7.0%,1,302,5.4%,"5,571","5,269",302,5.4%
Italy,ZAMBIA,LUSAKA,,,,,,"1 387 946,17","1 392 993,68","20 437,40",19.4%,,63,6.2%,"1,013",950,63,6.2%
Italy,ZIMBABWE,HARARE,,,,,,"1 389 279,00","1 394 331,53","20 456,43",76.5%,,35,3.3%,"1,045","1,01",35,3.3%
Latvia,AZERBAIJAN,BAKU,,,,,,"1 390 611,83","1 395 669,37","20 475,46",39.2%,3,236,6.8%,"3,47","3,206",236,6.8%
Latvia,BELARUS,MINSK,,,,,,"1 391 944,66","1 397 007,22","20 494,49",85.6%,18,116,0.3%,"33,197","32,955",116,0.3%
Latvia,BELARUS,VITSYEBSK,,,,,,"1 393 277,49","1 398 345,07","20 513,51",71.1%,20,150,0.6%,"25,7","25,446",150,0.6%
Latvia,CANADA,OTTAWA,,,,,,"1 394 610,31","1 399 682,91","20 532,54",66.7%,,,,39,39,,
Latvia,CHINA,BEIJING,,,,,,"1 395 943,14","1 401 020,76","20 551,57",28.7%,,64,2.9%,"2,17","2,075",64,2.9%
Latvia,EGYPT,CAIRO,,,,,,"1 397 275,97","1 402 358,60","20 570,60",35.7%,1,74,21.1%,351,253,74,21.1%
Latvia,FRANCE,PARIS,,,,,,"1 398 608,80","1 403 696,45","20 589,63",100.0%,,,,3,3,,
Latvia,GEORGIA,TBILISSI,,,,,,"1 399 941,63","1 405 034,30","20 608,66",70.7%,1,35,18.5%,189,151,35,18.5%
Latvia,INDIA,NEW DELHI,,,,,,"1 401 274,46","1 406 372,14","20 627,69",18.8%,7,843,45.0%,"1,873",998,843,45.0%
Latvia,ISRAEL,TEL AVIV,,,,,,"1 402 607,29","1 407 709,99","20 646,71",20.6%,1,,,35,35,,
Latvia,JAPAN,TOKYO,,,,,,"1 403 940,11","1 409 047,84","20 665,74",,,,,15,13,,
Latvia,KAZAKHSTAN,ASTANA,,,,,,"1 405 272,94","1 410 385,68","20 684,77",36.6%,4,134,5.6%,"2,401","2,261",134,5.6%
Latvia,RUSSIAN FEDERATION,KALININGRAD,,,,,,"1 406 605,77","1 411 723,53","20 703,80",76.6%,2,24,0.3%,"6,937","6,905",24,0.3%
Latvia,RUSSIAN FEDERATION,MOSCOW,,,,,,"1 407 938,60","1 413 061,37","20 722,83",86.1%,5,552,1.0%,"57,334","56,626",552,1.0%
Latvia,RUSSIAN FEDERATION,PSKOV,,,,,,"1 409 271,43","1 414 399,22","20 741,86",96.6%,,7,0.1%,"7,391","7,374",7,0.1%
Latvia,RUSSIAN FEDERATION,ST. PETERSBURG,,,,,,"1 410 604,26","1 415 737,07","20 760,89",90.2%,,93,0.9%,"10,513","10,396",93,0.9%
Latvia,TURKEY,ANKARA,,,,,,"1 411 937,09","1 417 074,91","20 779,91",66.8%,,110,9.6%,"1,15","1,043",110,9.6%
Latvia,UKRAINE,KYIV,,,,,,"1 413 269,91","1 418 412,76","20 798,94",72.9%,1,75,2.7%,"2,784","2,705",75,2.7%
Latvia,UNITED ARAB EMIRATES,ABU DHABI,,,,,,"1 414 602,74","1 419 750,60","20 817,97",27.3%,6,348,46.3%,752,391,348,46.3%
Latvia,UNITED KINGDOM,LONDON,,,,,,"1 415 935,57","1 421 088,45","20 837,00",75.9%,8,20,5.2%,387,361,20,5.2%
Latvia,USA,"WASHINGTON, DC",,,,,,"1 417 268,40","1 422 426,30","20 856,03",45.7%,1,1,1.4%,72,71,1,1.4%
Latvia,UZBEKISTAN,TASHKENT,,,,,,"1 418 601,23","1 423 764,14","20 875,06",29.9%,5,492,9.9%,"4,946","4,404",492,9.9%
Lithuania,ARMENIA,YEREVAN,,,,,,"1 419 934,06","1 425 101,99","20 894,09",40.9%,2,694,9.0%,"7,712","7,045",694,9.0%
Lithuania,AZERBAIJAN,BAKU,,,,,,"1 421 266,89","1 426 439,84","20 913,11",52.3%,,291,19.0%,"1,534","1,225",291,19.0%
Lithuania,BELARUS,GRODNO,,,,,,"1 422 599,71","1 427 777,68","20 932,14",93.1%,16,139,0.4%,"34,845","34,688",139,0.4%
Lithuania,BELARUS,MINSK,,,,,,"1 423 932,54","1 429 115,53","20 951,17",94.0%,60,443,0.2%,"201,597","199,789",443,0.2%
Lithuania,BRAZIL,SAO PAULO,,,,,,"1 425 265,37","1 430 453,37","20 970,20",66.7%,,3,50.0%,6,3,3,50.0%
Lithuania,CANADA,OTTAWA,,,,,,"1 426 598,20","1 431 791,22","20 989,23",55.0%,,1,4.8%,21,20,1,4.8%
Lithuania,CHINA,BEIJING,,,,,,"1 427 931,03","1 433 129,07","21 008,26",14.8%,1,171,10.1%,"1,701","1,532",171,10.1%
Lithuania,EGYPT,CAIRO,,,,,,"1 429 263,86","1 434 466,91","21 027,29",33.7%,6,169,28.1%,602,421,169,28.1%
Lithuania,FRANCE,PARIS,,,,,,"1 430 596,69","1 435 804,76","21 046,31",,,,,1,1,,
Lithuania,GEORGIA,TBILISSI,,,,,,"1 431 929,51","1 437 142,60","21 065,34",13.9%,1,83,19.3%,431,333,83,19.3%
Lithuania,INDIA,NEW DELHI,,,,,,"1 433 262,34","1 438 480,45","21 084,37",54.7%,12,345,34.3%,"1,007",659,345,34.3%
Lithuania,IRELAND,DUBLIN,,,,,,"1 434 595,17","1 439 818,30","21 103,40",44.8%,1,3,1.8%,165,155,3,1.8%
Lithuania,ISRAEL,TEL AVIV,,,,,,"1 435 928,00","1 441 156,14","21 122,43",51.5%,1,1,2.8%,36,34,1,2.8%
Lithuania,ITALY,ROME,,,,,,"1 437 260,83","1 442 493,99","21 141,46",100.0%,,1,6.7%,15,8,1,6.7%
Lithuania,JAPAN,TOKYO,,,,,,"1 438 593,66","1 443 831,84","21 160,49",17.1%,,1,2.7%,37,35,1,2.7%
Lithuania,KAZAKHSTAN,ALMATY,,,,,,"1 439 926,49","1 445 169,68","21 179,51",43.0%,19,"1,156",10.3%,"11,172","9,89","1,156",10.3%
Lithuania,KAZAKHSTAN,ASTANA,,,,,,"1 441 259,31","1 446 507,53","21 198,54",41.0%,,21,1.5%,"1,401","1,375",21,1.5%
Lithuania,LATVIA,RIGA,,,,,,"1 442 592,14","1 447 845,37","21 217,57",,,,,2,1,,
Lithuania,MOLDOVA,CHISINAU,,,,,,"1 443 924,97","1 449 183,22","21 236,60",37.5%,,1,11.1%,9,8,1,11.1%
Lithuania,NORWAY,OSLO,,,,,,"1 445 257,80","1 450 521,07","21 255,63",25.0%,,,,4,4,,
Lithuania,POLAND,WARSAW,,,,,,"1 446 590,63","1 451 858,91","21 274,66",100.0%,,,,1,1,,
Lithuania,ROMANIA,BUCHAREST,,,,,,"1 447 923,46","1 453 196,76","21 293,69",60.7%,,1,3.7%,27,28,1,3.7%
Lithuania,RUSSIAN FEDERATION,KALININGRAD,,,,,,"1 449 256,29","1 454 534,60","21 312,71",80.1%,,153,0.6%,"25,486","25,257",153,0.6%
Lithuania,RUSSIAN FEDERATION,MOSCOW,,,,,,"1 450 589,11","1 455 872,45","21 331,74",60.8%,4,375,1.2%,"31,558","31,144",375,1.2%
Lithuania,RUSSIAN FEDERATION,SOVETSK,,,,,,"1 451 921,94","1 457 210,30","21 350,77",85.1%,1,26,0.2%,"12,071","11,996",26,0.2%
Lithuania,RUSSIAN FEDERATION,ST. PETERSBURG,,,,,,"1 453 254,77","1 458 548,14","21 369,80",84.7%,2,225,1.7%,"13,212","13,023",225,1.7%
Lithuania,SOUTH AFRICA,PRETORIA,,,,,,"1 454 587,60","1 459 885,99","21 388,83",53.5%,,42,19.6%,214,170,42,19.6%
Lithuania,SWEDEN,STOCKHOLM,,,,,,"1 455 920,43","1 461 223,84","21 407,86",100.0%,,,,5,4,,
Lithuania,TURKEY,ANKARA,,,,,,"1 457 253,26","1 462 561,68","21 426,89",56.7%,5,157,13.2%,"1,185","1,021",157,13.2%
Lithuania,UKRAINE,KYIV,,,,,,"1 458 586,09","1 463 899,53","21 445,91",71.2%,6,178,3.3%,"5,38","5,16",178,3.3%
Lithuania,UNITED KINGDOM,LONDON,,,,,,"1 459 918,91","1 465 237,37","21 464,94",48.0%,2,10,1.7%,574,564,10,1.7%
Lithuania,USA,"CHICAGO, IL",,,,,,"1 461 251,74","1 466 575,22","21 483,97",53.1%,5,1,0.1%,864,858,1,0.1%
Lithuania,USA,"LOS ANGELES, CA",,,,,,"1 462 584,57","1 467 913,07","21 503,00",65.5%,1,2,3.3%,61,59,2,3.3%
Lithuania,USA,"NEW YORK, NY",,,,,,"1 463 917,40","1 469 250,91","21 522,03",69.7%,5,7,8.0%,88,81,7,8.0%
Lithuania,USA,"WASHINGTON, DC",,,,,,"1 465 250,23","1 470 588,76","21 541,06",67.6%,,1,2.9%,35,34,1,2.9%
Luxembourg,AUSTRIA,VIENNA,,,,,,"1 466 583,06","1 471 926,60","21 560,09",100.0%,,,,2,2,,
Luxembourg,BELGIUM,BRUSSELS,,,,,,"1 467 915,89","1 473 264,45","21 579,11",50.0%,,2,50.0%,4,2,2,50.0%
Luxembourg,CHINA,BEIJING,,,,,,"1 469 248,71","1 474 602,30","21 598,14",49.2%,1,21,1.7%,"1,269","1,248",21,1.7%
Luxembourg,CHINA,SHANGHAI,,,,,,"1 470 581,54","1 475 940,14","21 617,17",65.0%,1,40,4.1%,972,932,40,4.1%
Luxembourg,CZECH REPUBLIC,PRAGUE,,,,,,"1 471 914,37","1 477 277,99","21 636,20",50.0%,,,,2,2,,
Luxembourg,FRANCE,PARIS,,,,,,"1 473 247,20","1 478 615,84","21 655,23",66.7%,,,,3,3,,
Luxembourg,GERMANY,BERLIN,,,,,,"1 474 580,03","1 479 953,68","21 674,26",,1,1,25.0%,4,3,1,25.0%
Luxembourg,GREECE,ATHENS,,,,,,"1 475 912,86","1 481 291,53","21 693,29",100.0%,,,,4,4,,
Luxembourg,INDIA,NEW DELHI,,,,,,"1 477 245,69","1 482 629,37","21 712,31",92.4%,,161,7.1%,"2,283","2,122",161,7.1%
Luxembourg,ITALY,ROME,,,,,,"1 478 578,51","1 483 967,22","21 731,34",7.4%,1,4,12.5%,32,28,4,12.5%
Luxembourg,JAPAN,TOKYO,,,,,,"1 479 911,34","1 485 305,07","21 750,37",9.1%,1,1,4.2%,24,23,1,4.2%
Luxembourg,LUXEMBOURG,LUXEMBOURG,,,,,,"1 481 244,17","1 486 642,91","21 769,40",64.9%,,2,5.1%,39,37,2,5.1%
Luxembourg,NETHERLANDS,THE HAGUE,,,,,,"1 482 577,00","1 487 980,76","21 788,43",100.0%,,1,50.0%,2,1,1,50.0%
Luxembourg,POLAND,WARSAW,,,,,,"1 483 909,83","1 489 318,60","21 807,46",53.8%,,,,13,13,,
Luxembourg,PORTUGAL,LISBON,1,,,,,"1 485 242,66","1 490 656,45","21 826,49",80.0%,,1,16.7%,7,5,1,14.3%
Luxembourg,RUSSIAN FEDERATION,MOSCOW,,,,,,"1 486 575,49","1 491 994,30","21 845,51",89.9%,,43,1.5%,"2,856","2,813",43,1.5%
Luxembourg,SPAIN,MADRID,,,,,,"1 487 908,31","1 493 332,14","21 864,54",,,,,1,1,,
Luxembourg,SWITZERLAND,BERN,,,,,,"1 489 241,14","1 494 669,99","21 883,57",,,,,6,6,,
Luxembourg,THAILAND,BANGKOK,,,,,,"1 490 573,97","1 496 007,84","21 902,60",46.4%,,13,2.8%,463,450,13,2.8%
Luxembourg,TURKEY,ANKARA,,,,,,"1 491 906,80","1 497 345,68","21 921,63",97.6%,2,37,2.6%,"1,438","1,401",37,2.6%
Luxembourg,UNITED ARAB EMIRATES,ABU DHABI,,,,,,"1 493 239,63","1 498 683,53","21 940,66",80.6%,,56,12.9%,433,377,56,12.9%
Luxembourg,UNITED KINGDOM,LONDON,,,,,,"1 494 572,46","1 500 021,37","21 959,69",78.0%,,9,1.7%,528,519,9,1.7%
Luxembourg,USA,"NEW YORK, NY",,,,,,"1 495 905,29","1 501 359,22","21 978,71",97.5%,1,3,1.8%,163,160,3,1.8%
Luxembourg,USA,"SAN FRANCISCO, CA",,,,,,"1 497 238,11","1 502 697,07","21 997,74",0.8%,,2,0.8%,254,252,2,0.8%
Luxembourg,USA,"WASHINGTON, DC",,,,,,"1 498 570,94","1 504 034,91","22 016,77",97.2%,,4,5.3%,75,71,4,5.3%
Malta,ALGERIA,ALGIERS,,,,,,"1 499 903,77","1 505 372,76","22 035,80",34.2%,3,"3,226",86.8%,"3,717",436,"3,226",86.8%
Malta,AUSTRALIA,CANBERRA,,,,,,"1 501 236,60","1 506 710,60","22 054,83",66.7%,,,,3,3,,
Malta,AUSTRALIA,MELBOURNE,,,,,,"1 502 569,43","1 508 048,45","22 073,86",,,,,23,22,,
Malta,AUSTRALIA,SYDNEY,,,,,,"1 503 902,26","1 509 386,30","22 092,89",8.7%,5,,,25,28,,
Malta,CANADA,TORONTO,,,,,,"1 505 235,09","1 510 724,14","22 111,91",10.0%,,6,10.0%,60,50,6,10.0%
Malta,CHINA,BEIJING,,,,,,"1 506 567,91","1 512 061,99","22 130,94",19.4%,35,918,23.3%,"3,947","2,956",918,23.3%
Malta,CHINA,SHANGHAI,,,,,,"1 507 900,74","1 513 399,84","22 149,97",4.9%,10,375,14.1%,"2,66","2,252",375,14.1%
Malta,EGYPT,CAIRO,,,,,,"1 509 233,57","1 514 737,68","22 169,00",7.7%,14,161,16.1%,997,810,161,16.1%
Malta,INDIA,NEW DELHI,,,,,,"1 510 566,40","1 516 075,53","22 188,03",32.8%,52,809,22.9%,"3,539","2,682",809,22.9%
Malta,IRELAND,DUBLIN,,,,,,"1 511 899,23","1 517 413,37","22 207,06",57.7%,,1,0.5%,199,196,1,0.5%
Malta,ISRAEL,TEL AVIV,,,,,,"1 513 232,06","1 518 751,22","22 226,09",63.2%,11,26,12.7%,204,182,26,12.7%
Malta,KUWAIT,KUWAIT,,,,,,"1 514 564,89","1 520 089,07","22 245,11",92.6%,,15,6.4%,233,216,15,6.4%
Malta,POLAND,WARSAW,,,,,,"1 515 897,71","1 521 426,91","22 264,14",,,,,1,1,,
Malta,RUSSIAN FEDERATION,MOSCOW,,,,,,"1 517 230,54","1 522 764,76","22 283,17",17.3%,7,33,0.4%,"7,674","7,505",33,0.4%
Malta,SAUDI ARABIA,RIYADH,,,,,,"1 518 563,37","1 524 102,60","22 302,20",77.9%,8,97,10.7%,903,774,97,10.7%
Malta,SPAIN,MADRID,,,,,,"1 519 896,20","1 525 440,45","22 321,23",100.0%,3,,,3,6,,
Malta,TUNISIA,TUNIS,,,,,,"1 521 229,03","1 526 778,30","22 340,26",50.3%,14,203,20.5%,991,782,203,20.5%
Malta,TURKEY,ANKARA,,,,,,"1 522 561,86","1 528 116,14","22 359,29",100.0%,,,,1,1,,
Malta,TURKEY,ISTANBUL,,,,,,"1 523 894,69","1 529 453,99","22 378,31",57.2%,10,259,7.0%,"3,704","3,374",259,7.0%
Malta,UNITED ARAB EMIRATES,ABU DHABI,,,,,,"1 525 227,51","1 530 791,84","22 397,34",25.6%,,46,32.9%,140,90,46,32.9%
Malta,UNITED ARAB EMIRATES,DUBAI,,,,,,"1 526 560,34","1 532 129,68","22 416,37",57.7%,,434,32.6%,"1,331",782,434,32.6%
Malta,UNITED KINGDOM,LONDON,,,,,,"1 527 893,17","1 533 467,53","22 435,40",37.8%,19,,,"1,791","1,8",,
Malta,USA,"NEW YORK, NY",,,,,,"1 529 226,00","1 534 805,37","22 454,43",27.5%,,,,75,69,,
Malta,USA,"WASHINGTON, DC",,,,,,"1 530 558,83","1 536 143,22","22 473,46",54.3%,1,2,1.8%,110,106,2,1.8%
Netherlands,AFGHANISTAN,KABUL,,,,,,"1 531 891,66","1 537 481,07","22 492,49",16.1%,51,,,218,212,,
Netherlands,ALGERIA,ALGIERS,,,,,,"1 533 224,49","1 538 818,91","22 511,51",79.8%,28,"3,485",59.5%,"5,861","2,742","3,485",59.5%
Netherlands,ANGOLA,LUANDA,12,8,8,,,"1 534 557,31","1 540 156,76","22 530,54",94.8%,1,215,38.6%,569,338,215,37.8%
Netherlands,ARGENTINA,BUENOS AIRES,,,,,,"1 535 890,14","1 541 494,60","22 549,57",91.9%,,2,5.0%,40,37,2,5.0%
Netherlands,AUSTRALIA,SYDNEY,2,2,2,,,"1 537 222,97","1 542 832,45","22 568,60",97.5%,2,117,10.3%,"1,143",1,117,10.2%
Netherlands,BAHRAIN,MANAMA,,,,,,"1 538 555,80","1 544 170,30","22 587,63",,,3,100.0%,3,,3,100.0%
Netherlands,BANGLADESH,DHAKA,,,,,,"1 539 888,63","1 545 508,14","22 606,66",81.8%,,,,11,11,,
Netherlands,BENIN,COTONOU,,,,,,"1 541 221,46","1 546 845,99","22 625,69",88.7%,4,89,28.3%,314,217,89,28.3%
Netherlands,BOSNIA AND HERZEGOVINA,SARAJEVO,,,,,,"1 542 554,29","1 548 183,84","22 644,71",81.4%,,26,30.6%,85,59,26,30.6%
Netherlands,BRAZIL,SAO PAULO,3,1,1,,,"1 543 887,11","1 549 521,68","22 663,74",92.9%,8,17,17.5%,100,79,17,17.0%
Netherlands,BULGARIA,SOFIA,4,4,3,,,"1 545 219,94","1 550 859,53","22 682,77",85.2%,4,35,19.8%,181,136,35,19.3%
Netherlands,CANADA,OTTAWA,2,,,,,"1 546 552,77","1 552 197,37","22 701,80",96.3%,2,5,1.1%,444,432,5,1.1%
Netherlands,CANADA,TORONTO,1,,,,,"1 547 885,60","1 553 535,22","22 720,83",95.2%,5,27,3.6%,747,708,27,3.6%
Netherlands,CANADA,VANCOUVER,1,,,,,"1 549 218,43","1 554 873,07","22 739,86",97.7%,1,8,1.5%,536,523,8,1.5%
Netherlands,CHILE,SANTIAGO DE CHILE,,,,,,"1 550 551,26","1 556 210,91","22 758,89",100.0%,,11,24.4%,45,33,11,24.4%
Netherlands,CHINA,BEIJING,16,16,7,,,"1 551 884,09","1 557 548,76","22 777,91",77.4%,,"1,146",2.9%,"40,039","38,581","1,146",2.9%
Netherlands,CHINA,CHENGDU,,,,,,"1 553 216,91","1 558 886,60","22 796,94",97.1%,,23,1.2%,"1,865","1,836",23,1.2%
Netherlands,CHINA,GUANGZHOU (CANTON),3,3,3,,,"1 554 549,74","1 560 224,45","22 815,97",85.9%,1,432,4.4%,"9,816","9,353",432,4.4%
Netherlands,CHINA,SHANGHAI,1,1,,,,"1 555 882,57","1 561 562,30","22 835,00",75.8%,1,542,2.7%,"20,375","19,779",542,2.7%
Netherlands,CHINA,SHENYANG,,,,,,"1 557 215,40","1 562 900,14","22 854,03",97.0%,,80,5.4%,"1,469","1,384",80,5.4%
Netherlands,CHINA,WUHAN,,,,,,"1 558 548,23","1 564 237,99","22 873,06",91.2%,,64,7.4%,864,793,64,7.4%
Netherlands,COLOMBIA,BOGOTA,2,2,,,,"1 559 881,06","1 565 575,84","22 892,09",85.2%,,1,3.4%,31,29,1,3.2%
Netherlands,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,,,,,,"1 561 213,89","1 566 913,68","22 911,11",35.7%,60,1,1.2%,81,74,1,1.2%
Netherlands,COSTA RICA,SAN JOSE,1,,,,,"1 562 546,71","1 568 251,53","22 930,14",95.0%,,,,23,20,,
Netherlands,CROATIA,ZAGREB,,,,,,"1 563 879,54","1 569 589,37","22 949,17",68.0%,,10,27.8%,36,25,10,27.8%
Netherlands,CUBA,HAVANA,213,165,155,40,18.8%,"1 565 212,37","1 570 927,22","22 968,20",53.2%,,523,34.8%,"1,716","1,124",563,32.8%
Netherlands,CYPRUS,NICOSIA,,,,,,"1 566 545,20","1 572 265,07","22 987,23",,,14,73.7%,19,,14,73.7%
